area_type,site_location,total_sqft,bath,balcony,bhk,price
Super built-up  Area,Alandi Road,1056.0,2.0,1.0,2.0,39.07
Plot  Area,other,2600.0,5.0,3.0,4.0,120.0
Built-up  Area,other,1440.0,2.0,3.0,3.0,62.0
Super built-up  Area,other,1521.0,3.0,1.0,3.0,95.0
Super built-up  Area,other,1200.0,2.0,1.0,2.0,51.0
Super built-up  Area,other,1170.0,2.0,1.0,2.0,38.0
Super built-up  Area,other,2732.0,4.0,0.0,4.0,204.0
Super built-up  Area,Baner road,3300.0,4.0,0.0,4.0,600.0
Super built-up  Area,Bhandarkar Road,1310.0,3.0,1.0,3.0,63.25
Super built-up  Area,other,1800.0,2.0,2.0,3.0,70.0
Plot  Area,other,2785.0,5.0,3.0,4.0,295.0
Super built-up  Area,other,1000.0,2.0,1.0,2.0,38.0
Built-up  Area,other,1100.0,2.0,2.0,2.0,40.0
Plot  Area,other,2250.0,3.0,2.0,3.0,148.0
Super built-up  Area,Chandan Nagar,1175.0,2.0,2.0,2.0,73.5
Super built-up  Area,other,1180.0,3.0,2.0,3.0,48.0
Super built-up  Area,other,1540.0,3.0,3.0,3.0,60.0
Super built-up  Area,other,2770.0,4.0,2.0,3.0,290.0
Super built-up  Area,other,1100.0,2.0,2.0,2.0,48.0
Built-up  Area,other,600.0,1.0,1.0,1.0,15.0
Super built-up  Area,other,1755.0,3.0,1.0,3.0,122.0
Plot  Area,other,2800.0,5.0,2.0,4.0,380.0
Super built-up  Area,other,1767.0,3.0,1.0,3.0,103.0
Super built-up  Area,Fergusson College Road,510.0,1.0,0.0,1.0,25.25
Super built-up  Area,other,1250.0,3.0,2.0,3.0,56.0
Super built-up  Area,other,660.0,1.0,1.0,2.0,23.1
Built-up  Area,other,1610.0,3.0,2.0,3.0,81.0
Super built-up  Area,other,1151.0,2.0,2.0,2.0,48.77
Super built-up  Area,other,1025.0,2.0,1.0,3.0,47.0
Super built-up  Area,Gultekdi,2475.0,4.0,0.0,4.0,186.0
Super built-up  Area,other,1075.0,2.0,1.0,3.0,35.0
Super built-up  Area,other,1760.0,2.0,2.0,3.0,123.0
Super built-up  Area,Hadapsar Industrial Estate,1693.0,3.0,3.0,3.0,57.39
Built-up  Area,Hingne Khurd,1925.0,3.0,0.0,3.0,125.0
Super built-up  Area,other,700.0,2.0,1.0,2.0,36.0
Super built-up  Area,other,1070.0,2.0,1.0,2.0,45.5
Super built-up  Area,other,1724.0,3.0,2.0,3.0,125.0
Super built-up  Area,other,1290.0,2.0,2.0,3.0,56.12
Built-up  Area,other,1143.0,2.0,2.0,2.0,45.0
Built-up  Area,other,1296.0,2.0,0.0,2.0,81.0
Super built-up  Area,other,1254.0,3.0,2.0,3.0,38.0
Super built-up  Area,Khadki,600.0,1.0,0.0,1.0,38.0
Plot  Area,Kharadi,660.0,1.0,0.0,1.0,48.0
Super built-up  Area,Kondhwa,1330.74,2.0,2.0,2.0,91.79
Super built-up  Area,other,970.0,2.0,0.0,2.0,33.0
Super built-up  Area,Koregaon Park,1459.0,2.0,1.0,2.0,94.82
Plot  Area,other,800.0,1.0,1.0,2.0,130.0
Built-up  Area,other,869.0,2.0,1.0,2.0,36.0
Super built-up  Area,other,1270.0,2.0,1.0,2.0,50.0
Super built-up  Area,other,1670.0,3.0,1.0,3.0,99.0
Built-up  Area,other,2010.0,3.0,2.0,3.0,91.0
Super built-up  Area,Mangalwar peth,1185.0,2.0,2.0,2.0,75.0
Super built-up  Area,Manik Bagh,1600.0,2.0,3.0,3.0,75.0
Super built-up  Area,Market yard,1200.0,2.0,2.0,2.0,44.0
Super built-up  Area,other,1500.0,2.0,2.0,2.0,185.0
Super built-up  Area,other,840.0,2.0,2.0,2.0,45.0
Plot  Area,other,4395.0,3.0,2.0,3.0,240.0
Super built-up  Area,Narayan Peth,845.0,2.0,1.0,2.0,55.0
Plot  Area,other,5700.0,5.0,3.0,4.0,650.0
Built-up  Area,other,1160.0,2.0,2.0,2.0,44.0
Built-up  Area,other,3000.0,8.0,0.0,8.0,140.0
Super built-up  Area,Parvati Darshan,1100.0,2.0,1.0,2.0,62.0
Super built-up  Area,other,1140.0,2.0,3.0,2.0,43.0
Super built-up  Area,Paud Road,1220.0,2.0,1.0,2.0,57.0
Super built-up  Area,other,1005.0,2.0,1.0,2.0,36.68
Super built-up  Area,Rasta Peth,1358.0,2.0,1.0,2.0,80.58
Super built-up  Area,other,1569.0,3.0,1.0,3.0,101.0
Super built-up  Area,Sadashiv Peth,1240.0,2.0,1.0,2.0,70.0
Super built-up  Area,other,2089.0,3.0,2.0,3.0,140.0
Super built-up  Area,other,1206.0,2.0,1.0,2.0,48.23
Super built-up  Area,Sasson Road,1150.0,2.0,3.0,2.0,40.0
Built-up  Area,other,2511.0,3.0,3.0,3.0,205.0
Built-up  Area,other,4400.0,6.0,3.0,6.0,250.0
Super built-up  Area,other,1660.0,2.0,2.0,3.0,105.0
Super built-up  Area,other,1326.0,2.0,2.0,2.0,78.0
Super built-up  Area,Somwar Peth,1325.0,2.0,2.0,3.0,60.8
